#Notes:;;;;
#Stalage + and Stalage - are upper and lower 95% CI;;;;
#Age in yrs BP = years before 1950 CE;;;;
Depth from top of stal (mm);Depth (cm);Age (yrs BP);Stalage +;Stalage -
386,75;38,675;18286;18350;18277
387,25;38,725;18332;18395;18310
387,75;38,775;18378;18441;18325
388,25;38,825;18423;18487;18348
388,75;38,875;18469;18533;18387
389,25;38,925;18515;18579;18437
389,75;38,975;18561;18625;18491
390,25;39,025;18606;18671;18543
390,75;39,075;18652;18716;18590
391,25;39,125;18697;18762;18635
391,75;39,175;18742;18807;18678
392,25;39,225;18787;18852;18721
392,75;39,275;18833;18898;18765
393,25;39,325;18878;18943;18811
393,75;39,375;18924;18989;18856
394,25;39,425;18969;19035;18901
394,75;39,475;19015;19080;18946
395,25;39,525;19060;19126;18990
395,75;39,575;19105;19171;19033
396,25;39,625;19150;19217;19077
396,75;39,675;19195;19262;19121
397,25;39,725;19240;19308;19166
397,75;39,775;19285;19354;19210
398,25;39,825;19330;19401;19255
398,75;39,875;19375;19448;19299
399,25;39,925;19421;19496;19344
