sample,taxon,genome
TDM034,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM034_piscinibacter.fa
TDM016,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM016_piscinibacter.fa
TDM008,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM008_piscinibacter.fa
TDM012,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM012_piscinibacter.fa
TDM022,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM022_piscinibacter.fa
TDM035,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM035_piscinibacter.fa
TDM006,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM006_piscinibacter.fa
TDM057,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM057_piscinibacter.fa
TDM010,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM010_piscinibacter.fa
TDM045,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM045_piscinibacter.fa
TDM028,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM028_piscinibacter.fa
TDM025,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM025_piscinibacter.fa
TDM046,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM046_piscinibacter.fa
TDM020,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM020_piscinibacter.fa
TDM061,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM061_piscinibacter.fa
TDM011,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM011_piscinibacter.fa
TDM039,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM039_piscinibacter.fa
TDM031,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM031_piscinibacter.fa
TDM002,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM002_piscinibacter.fa
TDM029,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM029_piscinibacter.fa
TDM004,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM004_piscinibacter.fa
TDM021,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM021_piscinibacter.fa
TDM040,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM040_piscinibacter.fa
TDM044,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM044_piscinibacter.fa
TDM048,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM048_piscinibacter.fa
TDM018,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM018_piscinibacter.fa
TDM026,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM026_piscinibacter.fa
TDM041,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM041_piscinibacter.fa
TDM032,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM032_piscinibacter.fa
TDM059,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM059_piscinibacter.fa
TDM047,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM047_piscinibacter.fa
TDM050,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM050_piscinibacter.fa
TDM058,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM058_piscinibacter.fa
TDM033,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM033_candidatus_nitrosotenuis.fa
TDM042,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM042_candidatus_nitrosotenuis.fa
TDM056,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM056_candidatus_nitrosotenuis.fa
TDM030,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM030_candidatus_nitrosotenuis.fa
TDM001,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM001_candidatus_nitrosotenuis.fa
TDM038,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM038_candidatus_nitrosotenuis.fa
TDM051,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM051_candidatus_nitrosotenuis.fa
TDM017,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM017_candidatus_nitrosotenuis.fa
TDM019,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM019_candidatus_nitrosotenuis.fa
